Date,metal,fmcg,oil,cnxbank,real,pharma,cnxauto,capgoods,it,power,cement,steel,telecom,autoancs,media
29/04/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/5/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/5/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/5/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/5/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/5/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/5/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/5/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/5/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/5/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31/05/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/6/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/6/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/6/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/6/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/6/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/6/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/6/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/6/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30/06/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/7/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/7/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/7/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/7/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/7/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/7/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/7/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/7/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29/07/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/8/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/8/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/8/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/8/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/8/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/8/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/8/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/8/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/8/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/8/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31/08/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/9/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/9/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/9/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/9/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/9/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/9/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/9/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/9/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30/09/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
